title,icon,installs,reviews,size,content_rating,free,price,iap,android_version,len_title,main_category,category,iap_min,iap_max,updateDays,rating_class,rating
Photos and cases of 2020,https://lh3.googleusercontent.com/vor9Iqy5XP1vEICMnd5DCUUH7crQioUcOnav8vrcU32Hd2YZCaNzMBYa9LhTdrPRzA,500000,9826,3.9,4,1,0.0,0,1,24,23,PERSONALIZATION,0.0,0.0,-425,1,4.5
Access Bank plc,https://lh3.googleusercontent.com/G2xtUJDn4jDYqHUWNU0TQxf_Rf6BSpJJ06HiRbTmRYe8ml6et0n6Ob0Id_KhUEN4AhQ,1000000,14004,30.101834862385324,1,1,0.0,0,3,15,11,FINANCE,0.0,0.0,-125,0,4.1
انگریزی سیکھیں Learn English Speaking in Urdu,https://lh3.googleusercontent.com/2FeYEni9Iu-hS89nd3R6Dw9uJe3psz9fRiVuipBjV2_irtVsExsm-P2Is4MUGN9QQs0,500000,310,4.0,1,1,0.0,0,0,45,8,EDUCATION,0.0,0.0,-84,0,4.2
InBrowser - Incognito Browsing,https://lh3.googleusercontent.com/FzgMx_y3wgNmJKgSyGj4qmf6tmNgRNENn9RFMsAswBUGQn1qrlab-zCLytMENBPBDBg,1000000,29738,22.411333333333335,1,1,0.0,0,1,30,6,COMMUNICATION,0.0,0.0,-67,0,4.2
Grocery List,https://lh3.googleusercontent.com/xfCiNBqqorerBQuFt_IshBtvzbIJatiGA29Ddnq_kPOFSRBueBvHL2I01aRY1M7Ylw,10000,54,8.7,1,1,0.0,0,2,12,26,SHOPPING,0.0,0.0,-554,0,4.1
FM Radio,https://lh3.googleusercontent.com/lOCdPFpwZrLv1UISCoXerHdvt6mAuSXQ1SreTOWpLGPCd4iE8TqPHnCCYZK-Dx5z5hg,100000000,61215,21.515178571428574,1,1,0.0,0,1,8,20,MUSIC_AND_AUDIO,0.0,0.0,-9,0,3.8
Amex,https://lh3.googleusercontent.com/3VZT7jSymmbEc8w5HPDrcyZ12BMTCnOHaYkKClm7QrnjK2bjnssKmknRNrwo6SBDa6rx,5000000,27735,60.0,1,1,0.0,0,3,4,11,FINANCE,0.0,0.0,-9,1,4.4
Sweet Selfie Camera - Photo Editor & Beauty Snap,https://lh3.googleusercontent.com/VnfNYjyI5i-ZM79C-5vTI-fB3YysuT7zO5YXtYc20c7wvGi1FcZHm4bDj8lRJh7vZQRb,10000000,40961,57.0,1,1,0.0,1,1,48,24,PHOTOGRAPHY,0.99,6.99,-22,0,4.3
Pretty Calculator,https://lh3.googleusercontent.com/CtjFCC5tF4kNgVFiPD050yG4U6Wh9oNOkuy7A_wsX3ZRwkHp2N3naswyH4fUUxrYymo,5000000,46268,17.0,1,1,0.0,0,1,17,25,PRODUCTIVITY,0.0,0.0,-661,1,4.5
"Overstock – Deals on Furniture, Decor, Rugs & More",https://lh3.googleusercontent.com/r1RyQV0Tva6dHjjLQ4xikDyc2uU9OMXxUmnvDM3edGwfBI6tZvDC9XGltno9pH-jkw,1000000,26888,29.649494949494947,4,1,0.0,0,2,50,26,SHOPPING,0.0,0.0,-18,0,4.2
Water Drink Reminder Pro,https://lh3.googleusercontent.com/Z4ccrQbTL3UY-7lcSa6yqB_vk3wkH9gewOPX1FbIO64cGpwe3BJyHmfmKGDBvatOkujK,10000,2414,25.8864,1,0,1.99,0,3,24,14,HEALTH_AND_FITNESS,0.0,0.0,-157,1,4.6
Caf - My Account,https://lh3.googleusercontent.com/ZYECHF1yseRD1ijxn6BgnHq7kxcLQSfdRijSihibUpLYV6k7uZOjWHnrB4wmnotdxg,5000000,33716,19.05330693069307,1,1,0.0,0,0,16,17,LIFESTYLE,0.0,0.0,-324,0,4.3
Battery Widget Reborn (Free),https://lh3.googleusercontent.com/kYeNo_cN_fe2lGNaj3dK8Qyr1lId6lkd2cOfBcAM8j1vMXB3h4bUacJ9RItWfPiGlBbr,1000000,88441,7.3,1,1,0.0,1,0,28,29,TOOLS,2.49,4.99,-245,1,4.6
"Sweet Selfie: Snap Camera&Photo Editor, Filter Cam",https://lh3.googleusercontent.com/5tlMjSfT8nK_bN7v__59UP8v29rBfPBBbA6x_vAxqgi6T6HkWg88dg_JfShwcq_mhq0,100000000,1467165,60.0,1,1,0.0,1,1,50,24,PHOTOGRAPHY,0.99,13.99,0,1,4.4
EatStreet Food Delivery App,https://lh3.googleusercontent.com/gc9TNcNnj6TR7sXCB7LnfqBCobYehQOiQLLbrTTvW5eReVOrx-8qgkYibtEpC44zaalu,100000,10265,27.0,1,1,0.0,0,3,27,12,FOOD_AND_DRINK,0.0,0.0,-4,1,4.4
Waterfall Live Wallpaper,https://lh3.googleusercontent.com/h-9JN3Wo2EE3e2QL7Ztss_QCnVFlCajE-qFXq2kZ73e4thRZNhBQzhZRFLNFm3KKyhg,10000000,255180,16.0,1,1,0.0,0,1,24,23,PERSONALIZATION,0.0,0.0,-411,0,4.2
myRadio.ph,https://lh3.googleusercontent.com/FJWHIa0egCsz0F0Qcnp-rEyp-KuYJ3qFVxtVjfT1Gd9MJtJfTL_NPCc5n4sfiNXXwQ,100000,30,20.0,1,1,0.0,0,1,10,20,MUSIC_AND_AUDIO,0.0,0.0,-882,1,4.6
MapFactor GPS Navigation Maps,https://lh3.googleusercontent.com/Al8iS4JCagjHhqzdDbCWlBLPEzYb5kygxeE0epunRxmOMNeA4WGUrZPwRQ8Ial0Skw,10000000,955589,29.0,1,1,0.0,1,1,29,18,MAPS_AND_NAVIGATION,0.99,9.49,-15,1,4.6
Mirror Photo Editor: Collage Maker & Selfie Camera,https://lh3.googleusercontent.com/_Mj0Cs9Ju6R1Dn_0aeCkZY9CY6TIYKQwOk4A8wbbq8uywmhzHvFbQA0Ii3UCvDsMzY4,50000000,538222,25.74569072164949,1,1,0.0,0,1,50,24,PHOTOGRAPHY,0.0,0.0,-35,1,4.5
"Clear Scan: Free Document Scanner App,PDF Scanning",https://lh3.googleusercontent.com/XnndVPN7h43FYjdUkiPxoEb1Dc0TML3f6eRn3H5bdSC3U8ln4Nvy0rKrrqLbOszJw7A,5000000,133566,22.59268292682927,1,1,0.0,1,3,50,4,BUSINESS,0.99,99.99,-16,1,4.7
Sworkit Fitness – Workouts & Exercise Plans App,https://lh3.googleusercontent.com/KyP6tycYadkIuQY-w_4c0_feiK5qw9ftVOGn9rF-Mo0WmUxKgjDeKaIcgeAW7xp0a7s,5000000,109426,34.0,1,1,0.0,1,3,47,14,HEALTH_AND_FITNESS,2.99,89.99,-1,0,4.1
EMRA Antibiotic Guide,https://lh3.googleusercontent.com/AO5YXFYd4yp2_UlQqZlDFYT3GAppQMzOw_SAl1sOMLr0SV6Hg7-ymXMzz0a3EmWfuQ,5000,22,37.0,1,1,0.0,1,3,21,19,MEDICAL,0.99,99.99,-170,0,3.1
"No.Pix - Color by Number, Pixel Art Coloring Book",https://lh3.googleusercontent.com/3HRcOo3pFgFNpmPsqCON6yaf_H0ZFYjmgE_4WeWOv_Wf2NzjCCYtGBkZFQ7PxlriLQU0,10000000,723048,25.194680851063833,1,1,0.0,0,2,49,9,ENTERTAINMENT,0.0,0.0,0,1,4.7
TrueID TV Lite : Free Live TV App,https://lh3.googleusercontent.com/2L2ayGluIRn47DX_q-gYrZ6l85j7WVBxIA3D6ZvxhE3f_ttIHl1uR670DeyAxhJ50MY,5000000,111677,6.6,1,1,0.0,0,2,33,9,ENTERTAINMENT,0.0,0.0,-114,1,4.4
Business Insider,https://lh3.googleusercontent.com/xe91siBH0oGZa8HXws-M1ITTNyIuck-eTDFoHRrqew9thTYYniLWo2zyKKl0aa9vCvA,1000000,36907,9.7,2,1,0.0,1,1,16,21,NEWS_AND_MAGAZINES,9.49,99.99,-149,0,4.3
Brain Waves - Binaural Beats,https://lh3.googleusercontent.com/5ZpcdH9Y9mjquZYiZlIP4rPl5JF5gms2_HovskGxLdcJuya8qhxjRYo4xfHcb-ZKumsA,1000000,5701,5.6,1,1,0.0,0,3,28,14,HEALTH_AND_FITNESS,0.0,0.0,-31,0,4.3
"CheapTickets – Hotels, Flights & Travel Deals",https://lh3.googleusercontent.com/SSaB9ckHKykE_Efdc1I6-Ydv7y7Q3aFy2gk-9hR9z2sJDJQG2jlYVnhijx-xsgGb5hA,1000000,8120,13.0,1,1,0.0,0,3,45,30,TRAVEL_AND_LOCAL,0.0,0.0,-11,1,4.5
ACLS Rhythm Quiz,https://lh3.googleusercontent.com/7weyBQj4MwlFQBXsM5mx3STfF47hxfS6DKZkn78FxO1F5xzSYjVfkOhLvd24XsyJ6UA,1000,9,2.1,1,0,0.99,0,3,16,19,MEDICAL,0.0,0.0,-1042,0,4.1
Hangouts Chat,https://lh3.googleusercontent.com/NRA6QVDKf3qkNlP9ZwqDoe6RKn2RyGrZZooYBOpLSwkjNNm3mHUo2FoSlUkFhS_qXexX,1000000,4283,9.3,1,1,0.0,0,3,13,4,BUSINESS,0.0,0.0,-2,0,3.8
